utterance,encoded_intent,labels
wanna check ur reimbursement policy can i get some help,4,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
can you show me in what cases can I request reimbursements?,4,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
help me check in what cases can I ask to be reimbursed,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
assistance to see ur money back guarantee,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
will you show me in what situations can I ask for refunds?,4,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can you show me in which cases can I ask to be reimbursed?,4,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
help me see in which cases can I request my money back,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help to see in which cases can I ask for a refund,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can I check in what cases can I request to be refunded?,4,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
wanna see how long refunds take how can i do it,4,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
help seeing in which cases can i request a refund,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help seeing in what situations can I request my money back,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have got to see your refund policy, help me",4,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
"I want to check your money back guarantee, how to do it?",4,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
I want help to see how long the goddamn refunds take,4,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
where do i see ur bloody refund policy,4,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
wanna check in what cases can i ask to be refunded help me,4,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
help me to see in what cases can I request my money back,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want help to see in which cases can I ask for refunds,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can ya help me checking how long reimburaements take,4,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
i have to see ur money back guarantee  how can i do it,4,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
I cannot check your money back guarantee,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
"I have got to see how long reimbursements take, help me",4,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
i have to check in which cases can i ask to be refunded,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help checking in what cases can I request to be reimbursed,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want assistance to see in what cases can I request refunds,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i have to see in which cases can i request refunds,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help seeing in which situations can I request reimbursements,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I have got to see in what cases can I request refunds,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
show me how long reimbursements take,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can i check ur erimbursement policy,4,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
i need help checking in which cases can i ask for refunds,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me see in what cases can i ask to be refunded,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need help to check how lonmg refunds usually take,4,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
I want help to see in which cases can I ask for a refund,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I want to see your money back policy, I need help",4,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
check how long reimbursements usually take,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
need to check in which cass can i request a reimbursement,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
want assistance seeing how long refunds take,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
need help to check in which cases can i ask to be reimursed,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
show me under which circumstances can I request refunds,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
need to see in which situations can i request refunds,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i try to check in what situationscan i ask for refunds,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
can I check your money back policy?,4,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
want assistance to see your reimbursement policy,4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
wanna check how long refunds take heelp me,4,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]"
I want to check your money back guarantee,4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help checking at what time i can reach customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can ya help me check what hours i can reach customer sevrice,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
how do I check at what time I can reach customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I do not know how to get in touch with customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
i have got to speak to customer assistance how to do it,5,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
i have to check what hours i can reach customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where can i see at what itme i can call customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
help me to call customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have to speak with customer assistance, help me",5,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
can suhow me what hours i can contact customer assistance,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
I need to check what hours I can call customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
customer support mail,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where to check at what time i can call customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
want help to see at what time I can cll customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help me to speak to customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how can I speak with customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
show me what hours I can call customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i want help talking with customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I'm trying to call customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
assistance to check at what time I can call customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need help to speak with customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
want help to see at what time i can call custome assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help to check at what time i can call customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how do i conttact customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
i dont know what i have to do to talk to customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
need to check what hours i can reach custmoer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
tell me what hours I can contact customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me speaking to customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want assistance contacting customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want help seeing what hours customer service available is,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I try to see what hours I can reach customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
do you have a phone number to contact customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how to check at whta time customer service available is?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
"I would like to speak to customer service, I need assistance",5,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
Itry to get in touch with customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help to talk with customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can i see what hours i can call customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
what time can i reach customer assistance,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
need help checking what hours i can call customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have got to talk to customer service, help me",5,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
need help to check at what time I can call customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need help speaking with customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help seeing what hours I canm call customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help me seeing what hours I can reach customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where do i check what hours customer assistance available is,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i have got to talk to customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
wanna see what hours customer support available is help me,5,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
ya have a number tto contact customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
I need help talking to customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I don't know what to do to talk to customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I do not know what I have to do to call customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
I need help to see what hours I can reach customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have to speak to customer support, I need help",5,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
how to see at what time customer service available is?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
help me to see what hours customer service available is,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i have got to see what hours i can reach customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
get in touch with customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help seeing what hours I can contact customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need help talking to customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i have to check at what time i can reach customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how top see what hours i can reach customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
need help to takl with damn customer support,5,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]"
can uhelpme speaking to customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
how to talk to customer servce,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
do you have a number to contact customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i dont know what i have to do to call customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how can I see at what time I can reach customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
do you have a free number to talk with customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
what do I have to do to talk with customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
need assistance calling customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me to check at what time i can call customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help to see what hours i can call customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how do I check at what time I can call customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can I get in touch with customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
want assistance to get in touch with customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can ya tell me at what time i can call customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
help me see what hours I can reach customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
show me at what time I can call customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
do you have an e-mail to contact customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how do I talk to damn customer service?,5,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
need help to speak with customer spport,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
getting in touch with customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can uhelp me see what hours i can contact customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
could I see at what time I can call customer assistance?,5,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
were do i see at what time i can call customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
how to see what hours I can reach customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
help me to check at what time I can reach customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help seeing what hours I can contact customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
see at what time i can reach customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help checking what hours I can reach customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
assistnace to speak with customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help to hceck what hours I can call customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
"I have got to contact customer support, I need help",5,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
i want assistnce talking with customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
I need help calling customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have to talk to damn customer support, I need assistance",5,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]"
i have to see what hours i can reach customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
check what hours customer support available is,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
do you have a toll-free number to speak to customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I want help to check what hours I can reach customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can I speak with customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
see what hours I can contact customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I need to call fucking customer assistance, how to do it?",5,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]"
need to see at what time customer service available is,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where do I check at what time I can reach customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
where do I see at what time customer service available is?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how to talk with customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i have got to talk to customer service i need help,5,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
i do not know how i can speak to customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
I want help to get in touch with customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help seeing at what time customer support available is,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
what hours can I get in touch with customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I have to get in touch with customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want assistance to call customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need help callong customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
i donnt know how to contact customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
want help speaking with customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have got to call customer service, how to do it?",5,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
how can I check what hours I can call customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I am trying to get in touch with customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me to see at what time i can reach customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how do I check at what time I can reach customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
"I want to contact customer support, will you help me?",5,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
"I want to speak to customer service, could you help me?",5,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
can i check at what time i can call customer assistance,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
where do i see what hours i can call customer assistance,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
need help speaking to customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can i speak with customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
what hours can I contact customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I try to check at what time I can contact customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
customersupport e-mail,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
"I want to speak with customer support, how could I do it?",5,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
I have got to see what hours I can contact customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need assistance t speak to customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help checking what hours i can contact customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can i check what hours i can contact customer assistance,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I try to check what hours I can reach customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have got to talk with customer service, I need assistance",5,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
how can i check what hours customer assistance available is,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
where to check what hours i can call customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
need to talk to customer service helo me,5,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1]"
can ya help me to contact customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I would like to see what hours I can reach customer support,5,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how do I see what hours I can call customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i need help to see what hours i can reach customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need help to get in touch with customer seervice,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help me check at what time I can reach customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
show me what hours i can call customer assistancew,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
i dont nkow how to speak with customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
I need assistance to talk to fucking customer service,5,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
what do I need to do to talk with customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how can I see at what time I can call customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I need to see what hours I can reach customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where to see at what time i can reach customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how do I talk with customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can uhelp me speak to customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
help me check what hours customer support available is,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how can I check what hours customer support available is?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how to check what hours I can contact customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
where to check what hours customer service available is,5,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
need help seeing at what time i can reach customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
need help seeing what hours i can call customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help to talk to customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need assistance speaking to customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I try to check at what time customer support available is,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can you show me what hours I can call customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I'm trying to speak to customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where can I check what hours I can contact customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I want assistance to speak with customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where can I see at what time I can contact customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
where do I see what hours I can reach customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I want tocheck at what time customer service available is,5,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
I have got to get in touch with customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
could i see what hours i can call customer assistance,5,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how can i call customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I need assistance speaking to customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need help to talk with customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
see what hours I can get in touch with customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
do ya have a mail to contact damn customer assistance,5,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
how do I see at what time I can contact customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I have to check at what time I can call customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how can i see at what time cutsomer support available is,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
could uhelp me to see what hours i can call customer support,5,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
uhave a free of charge customer service phone number,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
need help takling with customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
I need to speak with goddamn customer support,5,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
talk with fucking customer service,5,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
how can i speak with customer assistance,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i try to check at what time i can call customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have to contact customer service, could I get some help?",5,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
ya have a free phone no to call customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
how can i get in touch with customer support,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can you tell me at what time I can call customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
wanna see what hours i can contact customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I don't know what I need to do to contact customer service,5,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
wanna talk to goddamn customer assistance how to do it,5,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]"
can you help me get in touch with customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
"I want to speak with customer support, how can I do it?",5,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
where to see what hours I can reach customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
need help checking what hours I can call customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can i check at what time i can reach customer assistance,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
check what hours I can contact customer support,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
do you have a free phone no to call customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
"I want to speak with custmer support, how can I do it?",5,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
I need to see what hours I can contact customer assistance,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i have to check hwat hours customer service available is,5,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
i dont know how to get in touchwith customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
how to check at what time I can call customer service?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
do you have a free number to talk with customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
where to check at what time i can call customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can I see at what time I can call customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
show me what hours i can call customer support,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
wanna check what hours i can call customer assistance,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
want help to talk with customer service,5,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
what is your damn customer support mail?,5,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
how to speak to customer assistance?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can ya helpme talk to customer service,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
need to talk to fucking customer sefvice how do i do it,5,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1]"
what do I have to do to speak to customer support?,5,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
